YearsExperience,EducationLevel,JobDescription,Salary
12,Bachelor,Full stack developer skilled in React and Node.js,121544
3,PhD,Data scientist proficient in machine learning and Python,114437
16,Bachelor,Customer support representative with CRM experience,122969
0,Master,Customer support representative with CRM experience,137001
17,High School,Project manager with Agile and Scrum expertise,117725
19,Master,Marketing specialist with SEO and SEM experience,145784
16,Bachelor,Full stack developer skilled in React and Node.js,140675
14,Bachelor,Data scientist proficient in machine learning and Python,124266
10,PhD,Software engineer with experience in backend systems,39236
12,PhD,Customer support representative with CRM experience,102597
0,PhD,Graphic designer with Adobe Creative Suite proficiency,164974
16,Master,Software engineer with experience in backend systems,129656
5,PhD,Data scientist proficient in machine learning and Python,64364
3,Bachelor,Project manager with Agile and Scrum expertise,137071
19,PhD,Graphic designer with Adobe Creative Suite proficiency,124410
15,High School,Customer support representative with CRM experience,181168
14,PhD,Customer support representative with CRM experience,173092
14,Master,Full stack developer skilled in React and Node.js,88473
5,High School,Graphic designer with Adobe Creative Suite proficiency,74153
14,High School,Software engineer with experience in backend systems,68502
13,High School,Project manager with Agile and Scrum expertise,45675
10,Master,Full stack developer skilled in React and Node.js,185437
6,Bachelor,Financial analyst familiar with Excel and financial modeling,148384
8,PhD,Software engineer with experience in backend systems,108229
15,High School,Software engineer with experience in backend systems,119049
4,High School,Financial analyst familiar with Excel and financial modeling,119157
19,High School,Data scientist proficient in machine learning and Python,135711
9,Bachelor,Graphic designer with Adobe Creative Suite proficiency,140090
17,Bachelor,Graphic designer with Adobe Creative Suite proficiency,123321
2,Master,Data scientist proficient in machine learning and Python,56465
12,Bachelor,Customer support representative with CRM experience,62286
10,PhD,Marketing specialist with SEO and SEM experience,84795
16,Master,Full stack developer skilled in React and Node.js,138139
12,Master,Marketing specialist with SEO and SEM experience,133845
5,PhD,Customer support representative with CRM experience,79986
16,PhD,Graphic designer with Adobe Creative Suite proficiency,105396
12,PhD,Marketing specialist with SEO and SEM experience,85178
18,Master,Software engineer with experience in backend systems,40745
20,Master,Software engineer with experience in backend systems,109637
18,Master,Financial analyst familiar with Excel and financial modeling,166100
9,PhD,Financial analyst familiar with Excel and financial modeling,78566
2,PhD,Customer support representative with CRM experience,73722
13,High School,Customer support representative with CRM experience,116623
18,Bachelor,Project manager with Agile and Scrum expertise,141074
4,High School,Customer support representative with CRM experience,104974
4,PhD,Software engineer with experience in backend systems,114084
19,Master,Marketing specialist with SEO and SEM experience,185839
16,PhD,Full stack developer skilled in React and Node.js,147353
20,Bachelor,Project manager with Agile and Scrum expertise,134417
9,High School,Project manager with Agile and Scrum expertise,98099
4,High School,Graphic designer with Adobe Creative Suite proficiency,169570
3,Master,Project manager with Agile and Scrum expertise,55107
5,High School,Customer support representative with CRM experience,189865
3,High School,Customer support representative with CRM experience,163768
6,PhD,Software engineer with experience in backend systems,83839
6,High School,Full stack developer skilled in React and Node.js,119241
17,High School,Software engineer with experience in backend systems,53397
2,High School,Full stack developer skilled in React and Node.js,37704
0,Master,Software engineer with experience in backend systems,46442
3,Master,Marketing specialist with SEO and SEM experience,159576
5,PhD,Graphic designer with Adobe Creative Suite proficiency,39765
8,High School,Customer support representative with CRM experience,145828
13,Master,Data scientist proficient in machine learning and Python,40002
11,Master,Data scientist proficient in machine learning and Python,41390
19,PhD,Graphic designer with Adobe Creative Suite proficiency,36641
3,Bachelor,Customer support representative with CRM experience,194781
20,High School,Project manager with Agile and Scrum expertise,141119
11,Master,Customer support representative with CRM experience,45624
9,PhD,Customer support representative with CRM experience,39966
6,PhD,Graphic designer with Adobe Creative Suite proficiency,195261
2,PhD,Customer support representative with CRM experience,101301
13,Master,Project manager with Agile and Scrum expertise,145123
9,High School,Full stack developer skilled in React and Node.js,178295
15,Bachelor,Graphic designer with Adobe Creative Suite proficiency,108183
15,High School,Marketing specialist with SEO and SEM experience,34959
9,PhD,Data scientist proficient in machine learning and Python,188329
12,PhD,Graphic designer with Adobe Creative Suite proficiency,80802
5,Bachelor,Financial analyst familiar with Excel and financial modeling,154125
11,High School,Data scientist proficient in machine learning and Python,153795
8,PhD,Data scientist proficient in machine learning and Python,57215
12,PhD,Project manager with Agile and Scrum expertise,85046
3,High School,Software engineer with experience in backend systems,124593
10,PhD,Customer support representative with CRM experience,195166
19,High School,Customer support representative with CRM experience,199741
17,PhD,Customer support representative with CRM experience,197198
10,High School,Software engineer with experience in backend systems,109036
20,Bachelor,Project manager with Agile and Scrum expertise,139864
3,PhD,Graphic designer with Adobe Creative Suite proficiency,150333
17,Bachelor,Marketing specialist with SEO and SEM experience,46772
0,PhD,Marketing specialist with SEO and SEM experience,81943
6,PhD,Project manager with Agile and Scrum expertise,98868
5,Master,Financial analyst familiar with Excel and financial modeling,79855
14,High School,Marketing specialist with SEO and SEM experience,183290
17,Bachelor,Project manager with Agile and Scrum expertise,131124
10,Bachelor,Graphic designer with Adobe Creative Suite proficiency,87205
19,Bachelor,Marketing specialist with SEO and SEM experience,166031
14,High School,Customer support representative with CRM experience,55874
15,Master,Full stack developer skilled in React and Node.js,161007
6,Bachelor,Project manager with Agile and Scrum expertise,31301
20,High School,Data scientist proficient in machine learning and Python,88017
9,PhD,Marketing specialist with SEO and SEM experience,73319
11,Bachelor,Marketing specialist with SEO and SEM experience,52455
13,Bachelor,Software engineer with experience in backend systems,165184
4,Master,Financial analyst familiar with Excel and financial modeling,87033
20,Bachelor,Full stack developer skilled in React and Node.js,193217
17,Bachelor,Graphic designer with Adobe Creative Suite proficiency,136924
4,PhD,Software engineer with experience in backend systems,62735
2,High School,Customer support representative with CRM experience,102781
4,High School,Data scientist proficient in machine learning and Python,156031
16,Master,Financial analyst familiar with Excel and financial modeling,158305
18,PhD,Software engineer with experience in backend systems,138049
18,High School,Project manager with Agile and Scrum expertise,182783
20,PhD,Marketing specialist with SEO and SEM experience,35630
11,High School,Marketing specialist with SEO and SEM experience,95488
8,PhD,Financial analyst familiar with Excel and financial modeling,164278
0,Master,Marketing specialist with SEO and SEM experience,86289
17,Bachelor,Project manager with Agile and Scrum expertise,48953
20,Master,Software engineer with experience in backend systems,130932
3,High School,Software engineer with experience in backend systems,171140
9,Master,Marketing specialist with SEO and SEM experience,108930
6,Bachelor,Marketing specialist with SEO and SEM experience,31067
0,Master,Customer support representative with CRM experience,80658
16,High School,Data scientist proficient in machine learning and Python,82165
1,High School,Graphic designer with Adobe Creative Suite proficiency,110781
10,Master,Financial analyst familiar with Excel and financial modeling,170931
8,Bachelor,Software engineer with experience in backend systems,59164
6,Master,Financial analyst familiar with Excel and financial modeling,134946
16,Bachelor,Customer support representative with CRM experience,157580
16,PhD,Software engineer with experience in backend systems,129251
1,Bachelor,Customer support representative with CRM experience,50773
5,PhD,Customer support representative with CRM experience,63939
13,Master,Full stack developer skilled in React and Node.js,167186
5,Bachelor,Marketing specialist with SEO and SEM experience,128475
1,PhD,Project manager with Agile and Scrum expertise,42818
0,PhD,Full stack developer skilled in React and Node.js,39335
9,PhD,Graphic designer with Adobe Creative Suite proficiency,85008
20,High School,Financial analyst familiar with Excel and financial modeling,101745
4,Master,Project manager with Agile and Scrum expertise,33577
1,PhD,Financial analyst familiar with Excel and financial modeling,103916
15,Bachelor,Marketing specialist with SEO and SEM experience,165148
1,PhD,Project manager with Agile and Scrum expertise,193997
9,High School,Full stack developer skilled in React and Node.js,89314
1,Master,Financial analyst familiar with Excel and financial modeling,71205
15,High School,Full stack developer skilled in React and Node.js,172167
15,High School,Marketing specialist with SEO and SEM experience,143583
18,High School,Project manager with Agile and Scrum expertise,114715
6,Bachelor,Project manager with Agile and Scrum expertise,86680
11,Master,Software engineer with experience in backend systems,58400
14,Master,Customer support representative with CRM experience,137345
7,Bachelor,Customer support representative with CRM experience,117110
5,Master,Full stack developer skilled in React and Node.js,150120
9,High School,Project manager with Agile and Scrum expertise,58562
2,Master,Financial analyst familiar with Excel and financial modeling,48510
18,Bachelor,Full stack developer skilled in React and Node.js,91608
16,High School,Full stack developer skilled in React and Node.js,82182
6,Bachelor,Data scientist proficient in machine learning and Python,56883
20,PhD,Graphic designer with Adobe Creative Suite proficiency,196916
19,High School,Project manager with Agile and Scrum expertise,179800
3,High School,Customer support representative with CRM experience,41094
13,Master,Project manager with Agile and Scrum expertise,163479
19,High School,Marketing specialist with SEO and SEM experience,42644
14,Bachelor,Full stack developer skilled in React and Node.js,115834
7,Master,Data scientist proficient in machine learning and Python,138982
20,PhD,Data scientist proficient in machine learning and Python,82748
14,Bachelor,Customer support representative with CRM experience,89021
19,PhD,Customer support representative with CRM experience,92651
13,PhD,Customer support representative with CRM experience,66807
8,PhD,Marketing specialist with SEO and SEM experience,195144
7,High School,Data scientist proficient in machine learning and Python,199470
16,Bachelor,Financial analyst familiar with Excel and financial modeling,58669
1,Bachelor,Marketing specialist with SEO and SEM experience,191233
2,High School,Software engineer with experience in backend systems,168354
7,Master,Graphic designer with Adobe Creative Suite proficiency,56539
11,PhD,Graphic designer with Adobe Creative Suite proficiency,164379
0,Bachelor,Full stack developer skilled in React and Node.js,47745
9,High School,Graphic designer with Adobe Creative Suite proficiency,64555
19,PhD,Customer support representative with CRM experience,162145
2,Master,Data scientist proficient in machine learning and Python,62683
5,Master,Graphic designer with Adobe Creative Suite proficiency,55741
6,PhD,Full stack developer skilled in React and Node.js,183358
19,Master,Graphic designer with Adobe Creative Suite proficiency,33599
17,Bachelor,Project manager with Agile and Scrum expertise,158513
10,Bachelor,Marketing specialist with SEO and SEM experience,57293
18,Bachelor,Software engineer with experience in backend systems,45389
4,Master,Project manager with Agile and Scrum expertise,42318
18,Bachelor,Marketing specialist with SEO and SEM experience,33055
10,High School,Marketing specialist with SEO and SEM experience,151164
11,Bachelor,Financial analyst familiar with Excel and financial modeling,112579
9,Bachelor,Graphic designer with Adobe Creative Suite proficiency,167392
7,Master,Full stack developer skilled in React and Node.js,134817
8,Bachelor,Financial analyst familiar with Excel and financial modeling,34642
3,PhD,Marketing specialist with SEO and SEM experience,39321
4,High School,Graphic designer with Adobe Creative Suite proficiency,109968
20,Master,Software engineer with experience in backend systems,132770
7,High School,Data scientist proficient in machine learning and Python,187116
8,PhD,Data scientist proficient in machine learning and Python,183043
14,Master,Graphic designer with Adobe Creative Suite proficiency,139762
14,Master,Project manager with Agile and Scrum expertise,144183
15,Bachelor,Full stack developer skilled in React and Node.js,147159
13,High School,Customer support representative with CRM experience,55727
7,PhD,Customer support representative with CRM experience,183631
17,PhD,Data scientist proficient in machine learning and Python,103820
9,Master,Marketing specialist with SEO and SEM experience,139062
19,Bachelor,Marketing specialist with SEO and SEM experience,57476
5,Master,Financial analyst familiar with Excel and financial modeling,172063
11,Master,Graphic designer with Adobe Creative Suite proficiency,150355
1,Master,Full stack developer skilled in React and Node.js,100047
6,Master,Graphic designer with Adobe Creative Suite proficiency,171868
15,PhD,Graphic designer with Adobe Creative Suite proficiency,33881
2,PhD,Financial analyst familiar with Excel and financial modeling,45668
12,Master,Customer support representative with CRM experience,195384
2,Master,Graphic designer with Adobe Creative Suite proficiency,58106
17,Bachelor,Data scientist proficient in machine learning and Python,45729
10,Master,Project manager with Agile and Scrum expertise,159354
7,PhD,Graphic designer with Adobe Creative Suite proficiency,100320
5,High School,Marketing specialist with SEO and SEM experience,84913
0,PhD,Graphic designer with Adobe Creative Suite proficiency,89402
0,Bachelor,Data scientist proficient in machine learning and Python,151649
7,PhD,Software engineer with experience in backend systems,133930
4,High School,Data scientist proficient in machine learning and Python,198354
15,Master,Software engineer with experience in backend systems,199290
10,High School,Financial analyst familiar with Excel and financial modeling,179022
4,Master,Financial analyst familiar with Excel and financial modeling,89739
3,Master,Customer support representative with CRM experience,34507
5,PhD,Data scientist proficient in machine learning and Python,132552
13,PhD,Data scientist proficient in machine learning and Python,109059
18,PhD,Software engineer with experience in backend systems,185739
8,Bachelor,Financial analyst familiar with Excel and financial modeling,165064
11,PhD,Software engineer with experience in backend systems,160514
10,Bachelor,Financial analyst familiar with Excel and financial modeling,117680
13,PhD,Software engineer with experience in backend systems,55530
15,Master,Financial analyst familiar with Excel and financial modeling,45305
0,Bachelor,Software engineer with experience in backend systems,139097
12,High School,Project manager with Agile and Scrum expertise,82044
20,Bachelor,Financial analyst familiar with Excel and financial modeling,160436
20,Bachelor,Full stack developer skilled in React and Node.js,119363
12,High School,Software engineer with experience in backend systems,88817
1,Bachelor,Data scientist proficient in machine learning and Python,133038
3,Master,Customer support representative with CRM experience,76666
5,PhD,Full stack developer skilled in React and Node.js,187245
4,High School,Full stack developer skilled in React and Node.js,48909
2,PhD,Software engineer with experience in backend systems,192079
0,Master,Customer support representative with CRM experience,174057
3,High School,Data scientist proficient in machine learning and Python,52525
19,PhD,Full stack developer skilled in React and Node.js,142293
1,PhD,Data scientist proficient in machine learning and Python,131046
4,Master,Financial analyst familiar with Excel and financial modeling,67403
2,PhD,Graphic designer with Adobe Creative Suite proficiency,198265
8,Master,Project manager with Agile and Scrum expertise,164902
19,Bachelor,Graphic designer with Adobe Creative Suite proficiency,161605
5,Master,Graphic designer with Adobe Creative Suite proficiency,182018
17,Bachelor,Customer support representative with CRM experience,53504
5,High School,Project manager with Agile and Scrum expertise,140551
18,PhD,Marketing specialist with SEO and SEM experience,85715
11,Master,Financial analyst familiar with Excel and financial modeling,189327
10,Master,Customer support representative with CRM experience,66855
1,PhD,Software engineer with experience in backend systems,71721
14,PhD,Project manager with Agile and Scrum expertise,141597
11,High School,Software engineer with experience in backend systems,130659
11,High School,Data scientist proficient in machine learning and Python,64723
8,Master,Graphic designer with Adobe Creative Suite proficiency,196811
20,High School,Full stack developer skilled in React and Node.js,35539
1,Bachelor,Project manager with Agile and Scrum expertise,146360
2,High School,Marketing specialist with SEO and SEM experience,131140
11,High School,Software engineer with experience in backend systems,182383
15,Master,Customer support representative with CRM experience,99180
20,Bachelor,Project manager with Agile and Scrum expertise,146985
0,High School,Project manager with Agile and Scrum expertise,115981
20,Bachelor,Full stack developer skilled in React and Node.js,65934
2,Bachelor,Full stack developer skilled in React and Node.js,170583
19,Bachelor,Customer support representative with CRM experience,161255
1,PhD,Full stack developer skilled in React and Node.js,39475
8,PhD,Software engineer with experience in backend systems,89577
18,PhD,Customer support representative with CRM experience,56008
14,PhD,Graphic designer with Adobe Creative Suite proficiency,72756
17,Master,Customer support representative with CRM experience,110730
10,High School,Data scientist proficient in machine learning and Python,188984
15,PhD,Marketing specialist with SEO and SEM experience,112702
16,Master,Project manager with Agile and Scrum expertise,76840
4,High School,Data scientist proficient in machine learning and Python,68623
11,PhD,Marketing specialist with SEO and SEM experience,93303
10,High School,Customer support representative with CRM experience,76062
14,PhD,Project manager with Agile and Scrum expertise,86690
2,Master,Full stack developer skilled in React and Node.js,128980
0,Bachelor,Marketing specialist with SEO and SEM experience,184706
19,Bachelor,Customer support representative with CRM experience,165162
15,High School,Customer support representative with CRM experience,75266
1,Master,Data scientist proficient in machine learning and Python,191080
1,Bachelor,Data scientist proficient in machine learning and Python,117643
2,PhD,Full stack developer skilled in React and Node.js,88704
7,Bachelor,Graphic designer with Adobe Creative Suite proficiency,147374
14,High School,Financial analyst familiar with Excel and financial modeling,38382
6,High School,Software engineer with experience in backend systems,119609
5,Master,Financial analyst familiar with Excel and financial modeling,76698
8,High School,Financial analyst familiar with Excel and financial modeling,31110
19,Bachelor,Project manager with Agile and Scrum expertise,145266
0,Bachelor,Graphic designer with Adobe Creative Suite proficiency,161458
7,Bachelor,Project manager with Agile and Scrum expertise,77801
2,Bachelor,Full stack developer skilled in React and Node.js,144012
3,Master,Project manager with Agile and Scrum expertise,126085
14,PhD,Marketing specialist with SEO and SEM experience,61566
5,PhD,Full stack developer skilled in React and Node.js,193593
14,Master,Full stack developer skilled in React and Node.js,53798
20,High School,Customer support representative with CRM experience,174637
2,PhD,Customer support representative with CRM experience,53027
20,High School,Customer support representative with CRM experience,35631
20,PhD,Software engineer with experience in backend systems,86878
13,High School,Marketing specialist with SEO and SEM experience,75206
19,Master,Marketing specialist with SEO and SEM experience,133473
13,Bachelor,Customer support representative with CRM experience,88334
3,High School,Financial analyst familiar with Excel and financial modeling,102323
11,Bachelor,Software engineer with experience in backend systems,83619
16,High School,Financial analyst familiar with Excel and financial modeling,133536
6,High School,Data scientist proficient in machine learning and Python,187947
8,High School,Marketing specialist with SEO and SEM experience,185586
2,High School,Marketing specialist with SEO and SEM experience,183652
12,High School,Financial analyst familiar with Excel and financial modeling,165360
14,Bachelor,Software engineer with experience in backend systems,36734
17,High School,Marketing specialist with SEO and SEM experience,69008
18,Bachelor,Financial analyst familiar with Excel and financial modeling,79349
0,Master,Full stack developer skilled in React and Node.js,168886
5,PhD,Full stack developer skilled in React and Node.js,168923
1,High School,Project manager with Agile and Scrum expertise,154478
13,PhD,Software engineer with experience in backend systems,162672
5,Bachelor,Financial analyst familiar with Excel and financial modeling,86614
13,Master,Project manager with Agile and Scrum expertise,33692
3,Master,Full stack developer skilled in React and Node.js,156745
20,Master,Software engineer with experience in backend systems,50373
7,PhD,Graphic designer with Adobe Creative Suite proficiency,142413
2,Bachelor,Project manager with Agile and Scrum expertise,44507
18,High School,Graphic designer with Adobe Creative Suite proficiency,92931
13,High School,Customer support representative with CRM experience,105499
19,Bachelor,Software engineer with experience in backend systems,144362
16,PhD,Data scientist proficient in machine learning and Python,127449
7,High School,Customer support representative with CRM experience,126819
13,Bachelor,Project manager with Agile and Scrum expertise,69423
5,High School,Financial analyst familiar with Excel and financial modeling,133612
15,Master,Customer support representative with CRM experience,116120
18,High School,Customer support representative with CRM experience,147409
13,PhD,Project manager with Agile and Scrum expertise,120918
18,Bachelor,Financial analyst familiar with Excel and financial modeling,96600
2,PhD,Financial analyst familiar with Excel and financial modeling,71848
9,Bachelor,Full stack developer skilled in React and Node.js,36820
18,Master,Data scientist proficient in machine learning and Python,38512
8,Bachelor,Financial analyst familiar with Excel and financial modeling,197797
19,High School,Marketing specialist with SEO and SEM experience,81534
12,High School,Marketing specialist with SEO and SEM experience,155191
6,Master,Data scientist proficient in machine learning and Python,90945
13,Bachelor,Software engineer with experience in backend systems,113420
8,Master,Project manager with Agile and Scrum expertise,113488
18,High School,Software engineer with experience in backend systems,39711
14,PhD,Marketing specialist with SEO and SEM experience,116009
19,Master,Financial analyst familiar with Excel and financial modeling,39597
13,PhD,Data scientist proficient in machine learning and Python,90067
5,PhD,Software engineer with experience in backend systems,78022
20,Bachelor,Software engineer with experience in backend systems,142673
3,Master,Graphic designer with Adobe Creative Suite proficiency,179854
7,PhD,Project manager with Agile and Scrum expertise,81782
16,PhD,Customer support representative with CRM experience,140716
8,Bachelor,Marketing specialist with SEO and SEM experience,148030
0,Bachelor,Financial analyst familiar with Excel and financial modeling,102036
19,High School,Data scientist proficient in machine learning and Python,65342
13,PhD,Software engineer with experience in backend systems,115745
10,High School,Project manager with Agile and Scrum expertise,182049
20,PhD,Customer support representative with CRM experience,87396
2,High School,Marketing specialist with SEO and SEM experience,144836
8,Bachelor,Marketing specialist with SEO and SEM experience,136998
13,Master,Project manager with Agile and Scrum expertise,80021
8,Bachelor,Graphic designer with Adobe Creative Suite proficiency,160672
3,High School,Data scientist proficient in machine learning and Python,148559
3,High School,Software engineer with experience in backend systems,96836
7,Master,Data scientist proficient in machine learning and Python,188147
1,PhD,Project manager with Agile and Scrum expertise,191874
8,High School,Project manager with Agile and Scrum expertise,107017
13,High School,Data scientist proficient in machine learning and Python,132689
8,High School,Full stack developer skilled in React and Node.js,110291
15,Master,Customer support representative with CRM experience,120450
16,Bachelor,Marketing specialist with SEO and SEM experience,196664
15,High School,Full stack developer skilled in React and Node.js,86006
11,Master,Financial analyst familiar with Excel and financial modeling,187341
2,High School,Marketing specialist with SEO and SEM experience,134268
10,PhD,Marketing specialist with SEO and SEM experience,80138
13,Master,Customer support representative with CRM experience,92398
17,High School,Financial analyst familiar with Excel and financial modeling,180946
20,Master,Software engineer with experience in backend systems,87228
20,High School,Financial analyst familiar with Excel and financial modeling,92670
4,Bachelor,Software engineer with experience in backend systems,155613
15,High School,Graphic designer with Adobe Creative Suite proficiency,132071
19,Master,Graphic designer with Adobe Creative Suite proficiency,140572
4,PhD,Financial analyst familiar with Excel and financial modeling,168997
2,PhD,Data scientist proficient in machine learning and Python,33107
11,PhD,Project manager with Agile and Scrum expertise,116388
0,High School,Financial analyst familiar with Excel and financial modeling,125719
20,Bachelor,Full stack developer skilled in React and Node.js,148018
8,High School,Full stack developer skilled in React and Node.js,57617
8,PhD,Customer support representative with CRM experience,104258
3,Master,Project manager with Agile and Scrum expertise,80075
2,PhD,Project manager with Agile and Scrum expertise,156998
16,Master,Software engineer with experience in backend systems,52631
1,Bachelor,Marketing specialist with SEO and SEM experience,153120
0,Master,Customer support representative with CRM experience,127158
7,High School,Full stack developer skilled in React and Node.js,168955
12,High School,Full stack developer skilled in React and Node.js,180780
14,High School,Graphic designer with Adobe Creative Suite proficiency,76221
7,Master,Software engineer with experience in backend systems,178269
11,High School,Full stack developer skilled in React and Node.js,182206
11,High School,Full stack developer skilled in React and Node.js,135922
13,High School,Software engineer with experience in backend systems,63550
14,Bachelor,Full stack developer skilled in React and Node.js,44642
14,Master,Marketing specialist with SEO and SEM experience,181511
8,Master,Data scientist proficient in machine learning and Python,136093
18,PhD,Customer support representative with CRM experience,185655
19,Master,Marketing specialist with SEO and SEM experience,123885
7,Bachelor,Marketing specialist with SEO and SEM experience,109538
20,Master,Data scientist proficient in machine learning and Python,92014
18,Bachelor,Graphic designer with Adobe Creative Suite proficiency,49523
5,Bachelor,Project manager with Agile and Scrum expertise,140285
19,Master,Customer support representative with CRM experience,135879
18,PhD,Graphic designer with Adobe Creative Suite proficiency,120629
3,High School,Graphic designer with Adobe Creative Suite proficiency,106830
6,High School,Marketing specialist with SEO and SEM experience,75538
3,Master,Full stack developer skilled in React and Node.js,77310
11,Master,Graphic designer with Adobe Creative Suite proficiency,171980
12,Bachelor,Data scientist proficient in machine learning and Python,145266
2,Master,Project manager with Agile and Scrum expertise,42699
11,Bachelor,Customer support representative with CRM experience,96912
1,PhD,Financial analyst familiar with Excel and financial modeling,175327
1,Master,Software engineer with experience in backend systems,109183
8,High School,Full stack developer skilled in React and Node.js,90282
0,High School,Data scientist proficient in machine learning and Python,88249
7,Master,Software engineer with experience in backend systems,68176
5,Bachelor,Project manager with Agile and Scrum expertise,38163
5,High School,Project manager with Agile and Scrum expertise,84210
17,Bachelor,Financial analyst familiar with Excel and financial modeling,153844
16,Master,Graphic designer with Adobe Creative Suite proficiency,134587
11,Master,Marketing specialist with SEO and SEM experience,101979
5,High School,Marketing specialist with SEO and SEM experience,108860
7,Master,Customer support representative with CRM experience,182215
18,PhD,Data scientist proficient in machine learning and Python,34920
9,PhD,Data scientist proficient in machine learning and Python,112911
0,High School,Graphic designer with Adobe Creative Suite proficiency,67996
12,PhD,Project manager with Agile and Scrum expertise,172820
16,Bachelor,Customer support representative with CRM experience,124071
2,High School,Graphic designer with Adobe Creative Suite proficiency,77252
7,High School,Software engineer with experience in backend systems,152734
13,Bachelor,Marketing specialist with SEO and SEM experience,167522
2,PhD,Marketing specialist with SEO and SEM experience,82756
15,PhD,Project manager with Agile and Scrum expertise,80235
12,PhD,Data scientist proficient in machine learning and Python,120546
19,High School,Project manager with Agile and Scrum expertise,161092
16,High School,Graphic designer with Adobe Creative Suite proficiency,155802
12,PhD,Data scientist proficient in machine learning and Python,138421
5,Master,Customer support representative with CRM experience,170736
16,PhD,Graphic designer with Adobe Creative Suite proficiency,96635
13,Bachelor,Financial analyst familiar with Excel and financial modeling,53225
16,High School,Software engineer with experience in backend systems,136885
7,Bachelor,Full stack developer skilled in React and Node.js,115333
10,Bachelor,Financial analyst familiar with Excel and financial modeling,40807
19,High School,Graphic designer with Adobe Creative Suite proficiency,36402
0,Master,Financial analyst familiar with Excel and financial modeling,34521
6,PhD,Data scientist proficient in machine learning and Python,144693
20,Bachelor,Data scientist proficient in machine learning and Python,38382
20,High School,Data scientist proficient in machine learning and Python,140996
16,Bachelor,Financial analyst familiar with Excel and financial modeling,45065
9,PhD,Project manager with Agile and Scrum expertise,115470
10,Master,Software engineer with experience in backend systems,44425
8,Master,Project manager with Agile and Scrum expertise,43111
8,Master,Data scientist proficient in machine learning and Python,83257
4,High School,Graphic designer with Adobe Creative Suite proficiency,153990
16,High School,Graphic designer with Adobe Creative Suite proficiency,157813
8,Master,Marketing specialist with SEO and SEM experience,111046
16,PhD,Project manager with Agile and Scrum expertise,67851
20,PhD,Software engineer with experience in backend systems,38816
18,High School,Graphic designer with Adobe Creative Suite proficiency,32175
6,Master,Marketing specialist with SEO and SEM experience,41341
8,PhD,Software engineer with experience in backend systems,93908
6,PhD,Data scientist proficient in machine learning and Python,186726
12,PhD,Project manager with Agile and Scrum expertise,89696
10,High School,Full stack developer skilled in React and Node.js,113115
13,Master,Customer support representative with CRM experience,60194
18,Bachelor,Data scientist proficient in machine learning and Python,195909
10,Master,Graphic designer with Adobe Creative Suite proficiency,114358
12,Master,Financial analyst familiar with Excel and financial modeling,132548
13,High School,Full stack developer skilled in React and Node.js,180799
12,PhD,Financial analyst familiar with Excel and financial modeling,64579
0,PhD,Software engineer with experience in backend systems,126554
7,High School,Financial analyst familiar with Excel and financial modeling,177627
11,High School,Full stack developer skilled in React and Node.js,83294
18,High School,Full stack developer skilled in React and Node.js,79777
11,High School,Data scientist proficient in machine learning and Python,166978
7,High School,Marketing specialist with SEO and SEM experience,70751
7,Bachelor,Data scientist proficient in machine learning and Python,138750
20,Master,Software engineer with experience in backend systems,104180
12,Master,Graphic designer with Adobe Creative Suite proficiency,61644
11,Master,Financial analyst familiar with Excel and financial modeling,63521
15,PhD,Marketing specialist with SEO and SEM experience,41564
0,Bachelor,Project manager with Agile and Scrum expertise,135155
12,Master,Customer support representative with CRM experience,188371
6,PhD,Full stack developer skilled in React and Node.js,174493
4,Bachelor,Marketing specialist with SEO and SEM experience,118747
7,Bachelor,Graphic designer with Adobe Creative Suite proficiency,41202
13,PhD,Project manager with Agile and Scrum expertise,139407
12,Bachelor,Marketing specialist with SEO and SEM experience,164757
14,PhD,Data scientist proficient in machine learning and Python,120197
16,Master,Project manager with Agile and Scrum expertise,72637
14,PhD,Customer support representative with CRM experience,179438
19,Bachelor,Graphic designer with Adobe Creative Suite proficiency,54276
17,Master,Full stack developer skilled in React and Node.js,110946
17,Master,Graphic designer with Adobe Creative Suite proficiency,105214
1,High School,Software engineer with experience in backend systems,185647
3,High School,Software engineer with experience in backend systems,71230
0,Bachelor,Marketing specialist with SEO and SEM experience,154086
3,PhD,Project manager with Agile and Scrum expertise,159526
17,PhD,Marketing specialist with SEO and SEM experience,184093
4,Bachelor,Financial analyst familiar with Excel and financial modeling,170521
18,Master,Customer support representative with CRM experience,176729
14,Bachelor,Full stack developer skilled in React and Node.js,65059
7,Bachelor,Marketing specialist with SEO and SEM experience,31532
19,Master,Financial analyst familiar with Excel and financial modeling,132666
16,PhD,Project manager with Agile and Scrum expertise,111551
0,Bachelor,Customer support representative with CRM experience,198828
11,PhD,Full stack developer skilled in React and Node.js,101880
18,Bachelor,Software engineer with experience in backend systems,136734
14,Master,Financial analyst familiar with Excel and financial modeling,143997
8,Master,Project manager with Agile and Scrum expertise,195278
6,High School,Customer support representative with CRM experience,82168
1,Master,Financial analyst familiar with Excel and financial modeling,143123
8,High School,Marketing specialist with SEO and SEM experience,185622
9,Bachelor,Data scientist proficient in machine learning and Python,167461
1,PhD,Software engineer with experience in backend systems,117897
18,Master,Marketing specialist with SEO and SEM experience,196919
10,Master,Marketing specialist with SEO and SEM experience,134599
12,Master,Project manager with Agile and Scrum expertise,109239
9,Bachelor,Project manager with Agile and Scrum expertise,48642
13,High School,Customer support representative with CRM experience,136862
